model_name,split,loss,precision,recall,f1,map50,map50_95
Teacher YOLOv8l FT,daytime,2.706821584701538,0.6216,0.467,0.5307,0.5167,0.296
Teacher YOLOv8l FT,night,3.184877109527588,0.664,0.45,0.4979,0.4687,0.2543
