model_name,split,loss,precision,recall,f1,map50,map50_95
Student YOLOv8s Baseline,daytime,2.8242987632751464,0.616,0.4623,0.5236,0.4895,0.2616
Student YOLOv8s Baseline,night,3.2579675273895266,0.6097,0.3995,0.4457,0.4083,0.2209
