model_name,split,loss,precision,recall,f1,map50,map50_95
Student YOLOv8s KD,daytime,2.8348977699279785,0.5734,0.4244,0.4857,0.4544,0.2542
Student YOLOv8s KD,night,3.2720616874694826,0.672,0.3815,0.4539,0.4141,0.2247
