split,class_name,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ap50_mean,ap50_std,ap50_95_mean,ap50_95_std,ap50_cv_pct
daytime,bike,0.5210333333333333,0.026384907301965906,0.3477666666666666,0.0017243356208503514,0.4169666666666667,0.008607167555783604,0.3492333333333333,0.010371756521117012,0.1598,0.008850423718670196,2.969864423341705
daytime,bus,0.6425666666666666,0.023355156461332776,0.4728666666666667,0.01316978865940275,0.5445333333333333,0.007205784713224028,0.48100000000000004,0.006161168720299737,0.38166666666666665,0.0014571661996262792,1.280908257858573
daytime,car,0.7558666666666666,0.0014047538337136993,0.6973333333333334,0.0007371114795831967,0.7254333333333333,0.0004725815626252597,0.7454999999999999,0.001868154169226849,0.4801666666666667,0.0001527525231652157,0.25059076716657935
daytime,motor,0.5373333333333333,0.007500888836220269,0.42593333333333333,0.017205038021850836,0.4750666666666667,0.01097102243791953,0.4036666666666667,0.010620891362467345,0.17666666666666667,0.00349618840072061,2.631104383765651
daytime,person,0.6629,0.015371727293963999,0.5167,0.01402996792583641,0.5805333333333333,0.0031895663237082625,0.5743333333333334,0.0034078341117685577,0.28626666666666667,0.0007234178138070468,0.5933547495824535
daytime,rider,0.5953,0.025997692205270827,0.32826666666666665,0.023120193194117847,0.4223333333333333,0.012329368732150636,0.36916666666666664,0.016254332755709578,0.19266666666666665,0.004582939377008311,4.40297952750598
daytime,traffic light,0.6846,0.009971459271340351,0.4657,0.006908690179766364,0.5542666666666666,0.00378197479279461,0.5200333333333333,0.00032145502536639643,0.21430000000000002,0.0006999999999999893,0.06181431165304719
daytime,traffic sign,0.6803,0.0010000000000000009,0.5039666666666666,0.0028589042189855513,0.5790000000000001,0.001652271164185858,0.5538333333333333,0.004650089604871431,0.2851333333333333,0.0014364307617610412,0.8396189476144625
daytime,truck,0.6187333333333332,0.010091745802056892,0.5135333333333333,0.0034063665882187377,0.5612,0.003274141108748918,0.5148,0.0024248711305964094,0.3739333333333333,0.0027790885796126156,0.47103168815004065
night,bike,0.5038,0.032146695008974116,0.3511333333333333,0.02022111108058439,0.4129666666666667,0.009340413980832622,0.35613333333333336,0.017385722111357162,0.1479,0.007061869440877539,4.881801416517361
night,bus,0.5225,0.0353274680666475,0.4391333333333334,0.013960778392816564,0.47690000000000005,0.020178453855536085,0.41373333333333334,0.018197893651006245,0.3304666666666667,0.01801120021912293,4.398459632051138
night,car,0.6846,0.009153687781435414,0.6887333333333333,0.004614469994845919,0.6866,0.0027055498516937062,0.7215666666666666,0.0008144527815247516,0.4129333333333333,0.0006658328118479288,0.11287283894185131
night,motor,0.4746666666666666,0.023209121769970812,0.30006666666666665,0.018215469616052523,0.36766666666666664,0.020633548733393726,0.27976666666666666,0.013084469165133629,0.14313333333333333,0.01870436669158657,4.676922136947561
night,person,0.6149,0.02642177132593496,0.4517333333333333,0.013771468089253738,0.5205333333333333,0.010924437437842443,0.4978,0.006000000000000005,0.23829999999999998,0.0016522711641858208,1.2053033346725603
night,rider,0.6585,0.005260228131934967,0.3831,0.023769097584889473,0.4841333333333333,0.019978071311648977,0.4198,0.006286493458200678,0.2319,0.00782559901860554,1.4974972506433248
night,traffic light,0.641,0.011012265888544518,0.5185000000000001,0.01102859918575341,0.5731666666666667,0.0024501700621250037,0.5284666666666666,0.0006806859285554451,0.17473333333333332,0.0004041451884327376,0.12880394762623534
night,traffic sign,0.6722333333333333,0.01418496857005094,0.5740333333333333,0.010040086321010106,0.6191333333333333,0.00275378527364304,0.6122,0.0014106735979665472,0.3103666666666667,0.0010016652800878072,0.2304269189752609
night,truck,0.5972666666666667,0.012968166151516329,0.4727666666666666,0.0136880726668634,0.5276,0.009139474820797874,0.4721333333333333,0.009767462993701768,0.33749999999999997,0.006148983655857259,2.0687933480023513
