split,class_name,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ap50_mean,ap50_std,ap50_95_mean,ap50_95_std,ap50_cv_pct,ap50_base,delta,sigma
daytime,bike,0.5210333333333333,0.0263849073019659,0.3477666666666666,0.0017243356208503,0.4169666666666667,0.0086071675557836,0.3492333333333333,0.010371756521117,0.1598,0.0088504237186701,2.969864423341705,0.3418,0.007433333333333292,0.716689918260128
daytime,bus,0.6425666666666666,0.0233551564613327,0.4728666666666667,0.0131697886594027,0.5445333333333333,0.007205784713224,0.481,0.0061611687202997,0.3816666666666666,0.0014571661996262,1.280908257858573,0.4616,0.019399999999999973,3.1487532448318167
daytime,car,0.7558666666666666,0.0014047538337136,0.6973333333333334,0.0007371114795831,0.7254333333333333,0.0004725815626252,0.7454999999999999,0.0018681541692268,0.4801666666666667,0.0001527525231652,0.2505907671665793,0.7431,0.0023999999999999577,1.284690546173328
daytime,motor,0.5373333333333333,0.0075008888362202,0.4259333333333333,0.0172050380218508,0.4750666666666667,0.0109710224379195,0.4036666666666667,0.0106208913624673,0.1766666666666666,0.0034961884007206,2.631104383765651,0.3817,0.02196666666666669,2.068250763235723
daytime,person,0.6629,0.0153717272939639,0.5167,0.0140299679258364,0.5805333333333333,0.0031895663237082,0.5743333333333334,0.0034078341117685,0.2862666666666666,0.000723417813807,0.5933547495824535,0.5697,0.004633333333333378,1.3596123465437417
daytime,rider,0.5953,0.0259976922052708,0.3282666666666666,0.0231201931941178,0.4223333333333333,0.0123293687321506,0.3691666666666666,0.0162543327557095,0.1926666666666666,0.0045829393770083,4.40297952750598,0.3499,0.0192666666666666,1.1853249811130502
daytime,traffic light,0.6846,0.0099714592713403,0.4657,0.0069086901797663,0.5542666666666666,0.0037819747927946,0.5200333333333333,0.0003214550253663,0.2143,0.0006999999999999,0.0618143116530471,0.5129,0.007133333333333325,22.190766267240175
daytime,traffic sign,0.6803,0.001,0.5039666666666666,0.0028589042189855,0.5790000000000001,0.0016522711641858,0.5538333333333333,0.0046500896048714,0.2851333333333333,0.001436430761761,0.8396189476144625,0.5433,0.010533333333333283,2.265189325018305
daytime,truck,0.6187333333333332,0.0100917458020568,0.5135333333333333,0.0034063665882187,0.5612,0.0032741411087489,0.5148,0.0024248711305964,0.3739333333333333,0.0027790885796126,0.4710316881500406,0.4997,0.015100000000000058,6.227135046259631
night,bike,0.5038,0.0321466950089741,0.3511333333333333,0.0202211110805843,0.4129666666666667,0.0093404139808326,0.3561333333333333,0.0173857221113571,0.1479,0.0070618694408775,4.881801416517361,0.2479,0.10823333333333329,6.225414891604108
night,bus,0.5225,0.0353274680666475,0.4391333333333334,0.0139607783928165,0.4769,0.020178453855536,0.4137333333333333,0.0181978936510062,0.3304666666666667,0.0180112002191229,4.398459632051138,0.3984,0.01533333333333331,0.8425883581578958
night,car,0.6846,0.0091536877814354,0.6887333333333333,0.0046144699948459,0.6866,0.0027055498516937,0.7215666666666666,0.0008144527815247,0.4129333333333333,0.0006658328118479,0.1128728389418513,0.7198,0.0017666666666665831,2.1691455990355717
night,motor,0.4746666666666666,0.0232091217699708,0.3000666666666666,0.0182154696160525,0.3676666666666666,0.0206335487333937,0.2797666666666666,0.0130844691651336,0.1431333333333333,0.0187043666915865,4.676922136947561,0.2629,0.016866666666666585,1.2890600645543548
night,person,0.6149,0.0264217713259349,0.4517333333333333,0.0137714680892537,0.5205333333333333,0.0109244374378424,0.4978,0.006,0.2382999999999999,0.0016522711641858,1.2053033346725603,0.4885,0.00930000000000003,1.5500000000000052
night,rider,0.6585,0.0052602281319349,0.3831,0.0237690975848894,0.4841333333333333,0.0199780713116489,0.4198,0.0062864934582006,0.2319,0.0078255990186055,1.4974972506433248,0.3143,0.10549999999999998,16.78201062348636
night,traffic light,0.641,0.0110122658885445,0.5185000000000001,0.0110285991857534,0.5731666666666667,0.002450170062125,0.5284666666666666,0.0006806859285554,0.1747333333333333,0.0004041451884327,0.1288039476262353,0.5164,0.01206666666666667,17.727216268853105
night,traffic sign,0.6722333333333333,0.0141849685700509,0.5740333333333333,0.0100400863210101,0.6191333333333333,0.002753785273643,0.6122,0.0014106735979665,0.3103666666666667,0.0010016652800878,0.2304269189752609,0.6053,0.006900000000000017,4.891280314557837
night,truck,0.5972666666666667,0.0129681661515163,0.4727666666666666,0.0136880726668634,0.5276,0.0091394748207978,0.4721333333333333,0.0097674629937017,0.3374999999999999,0.0061489836558572,2.0687933480023517,0.4692,0.002933333333333288,0.3003168105397249
